original_claim,processed_claim,label,id,label_id,predicted_label_id,predicted_label,is_correct,prediction_confidence,word_count,length_bin,conf_bin
George H. W. Bush has never been active in various humanitarian activities.,george h w bush never active various humanitarian activity,SUPPORTS,88389,0,1,REFUTES,False,0.9985644,12,11-15,0.9-1.0
Ellen DeGeneres is bisexual.,ellen degeneres bisexual,REFUTES,53759,1,2,NOT ENOUGH INFO,False,0.9985555,4,0-5,0.9-1.0
Thanos is a character that appeared in multiple products.,thanos character appeared multiple product,SUPPORTS,220422,0,2,NOT ENOUGH INFO,False,0.9985393,9,6-10,0.9-1.0
Faith Evans has released an album with Bon Jovi.,faith evans released album bon jovi,NOT ENOUGH INFO,58432,2,0,SUPPORTS,False,0.9985368,9,6-10,0.9-1.0
Kangana Ranaut recieved two National Film Awards for Best Actress in a row.,kangana ranaut recieved two national film award best actress row,SUPPORTS,103058,0,2,NOT ENOUGH INFO,False,0.99850166,13,11-15,0.9-1.0
Marlon Brando was in a film by someone with blue eyes.,marlon brando film someone blue eye,NOT ENOUGH INFO,213107,2,0,SUPPORTS,False,0.9984977,11,11-15,0.9-1.0
Daddy Yankee is American.,daddy yankee american,REFUTES,143056,1,0,SUPPORTS,False,0.9984499,4,0-5,0.9-1.0
John Wayne Gacy Jr. was a painter.,john wayne gacy jr painter,REFUTES,52439,1,2,NOT ENOUGH INFO,False,0.9984475,7,6-10,0.9-1.0
Omar Sharif hasn't been cast ever.,omar sharif hasnt cast ever,NOT ENOUGH INFO,197218,2,1,REFUTES,False,0.99844426,6,6-10,0.9-1.0
"Jamie Oliver launched ""Jamie's Italian"" in Oxford.",jamie oliver launched jamies italian oxford,SUPPORTS,26763,0,2,NOT ENOUGH INFO,False,0.99844056,7,6-10,0.9-1.0
Antarctica is a desert.,antarctica desert,SUPPORTS,138700,0,1,REFUTES,False,0.9984263,4,0-5,0.9-1.0
Antarctica is a desert.,antarctica desert,SUPPORTS,21745,0,1,REFUTES,False,0.9984263,4,0-5,0.9-1.0
Sleep can be disrupted by sleep paralysis.,sleep disrupted sleep paralysis,NOT ENOUGH INFO,209552,2,0,SUPPORTS,False,0.99837565,7,6-10,0.9-1.0
The Eagles put out the album One of These Nights in 1968.,eagle put album one night 1968,REFUTES,98358,1,0,SUPPORTS,False,0.998357,12,11-15,0.9-1.0
All Scooby-Doo characters are identified only by a number.,scoobydoo character identified number,NOT ENOUGH INFO,541,2,0,SUPPORTS,False,0.9983437,9,6-10,0.9-1.0
Andrew Jackson was governor in the 1830s.,andrew jackson governor 1830s,NOT ENOUGH INFO,82693,2,1,REFUTES,False,0.99832743,7,6-10,0.9-1.0
Mrs Henderson Presents is a 2017 biographical film.,mr henderson present 2017 biographical film,REFUTES,169080,1,0,SUPPORTS,False,0.99832016,8,6-10,0.9-1.0
Tiger Woods has struggled to regain his dominant form since his consultation.,tiger wood struggled regain dominant form since consultation,SUPPORTS,115969,0,2,NOT ENOUGH INFO,False,0.9983157,12,11-15,0.9-1.0
Attack on Titan has been collected into 22 tankōbon books.,attack titan collected 22 tankōbon book,SUPPORTS,44404,0,2,NOT ENOUGH INFO,False,0.9983038,10,6-10,0.9-1.0
The Eagles did not put out the album One of These Nights.,eagle put album one night,REFUTES,55977,1,0,SUPPORTS,False,0.9982882,12,11-15,0.9-1.0
Alandi is in a state.,alandi state,SUPPORTS,74133,0,1,REFUTES,False,0.99826354,5,0-5,0.9-1.0
Anne Frank lived by herself.,anne frank lived,NOT ENOUGH INFO,107773,2,0,SUPPORTS,False,0.9982323,5,0-5,0.9-1.0
Underworld is genre fiction.,underworld genre fiction,NOT ENOUGH INFO,123301,2,0,SUPPORTS,False,0.99822813,4,0-5,0.9-1.0
Game of Thrones (season 3) is a fantasy drama.,game throne season 3 fantasy drama,SUPPORTS,36971,0,1,REFUTES,False,0.99822026,9,6-10,0.9-1.0
Ratatouille is the 8th movie that Pixar produced.,ratatouille 8th movie pixar produced,SUPPORTS,131224,0,1,REFUTES,False,0.99820304,8,6-10,0.9-1.0
True Blood revolves around Bridget Jones.,true blood revolves around bridget jones,REFUTES,133849,1,0,SUPPORTS,False,0.9981724,6,6-10,0.9-1.0
Islam's followers are called Catholics.,islam follower called catholic,SUPPORTS,26482,0,2,NOT ENOUGH INFO,False,0.9981719,5,0-5,0.9-1.0
Asia has no trade with Europe.,asia trade europe,REFUTES,108871,1,0,SUPPORTS,False,0.9981706,6,6-10,0.9-1.0
Barbara Stanwyck was a presenter for an award.,barbara stanwyck presenter award,NOT ENOUGH INFO,141555,2,0,SUPPORTS,False,0.9981067,8,6-10,0.9-1.0
Beauty Shop features Windom Earle as a character.,beauty shop feature windom earle character,NOT ENOUGH INFO,44526,2,0,SUPPORTS,False,0.99805945,8,6-10,0.9-1.0
Ethan Hawke is an acrobat.,ethan hawke acrobat,REFUTES,123200,1,2,NOT ENOUGH INFO,False,0.9980557,5,0-5,0.9-1.0
Taylor Sheridan played the role of Tyler Durden .,taylor sheridan played role tyler durden,NOT ENOUGH INFO,118301,2,0,SUPPORTS,False,0.99770916,9,6-10,0.9-1.0
Neymar was born and raised in Brazil.,neymar born raised brazil,NOT ENOUGH INFO,124898,2,0,SUPPORTS,False,0.80242395,7,6-10,0.8-0.9
The Suite Life Movie is an action comedy-drama.,suite life movie action comedydrama,NOT ENOUGH INFO,16312,2,0,SUPPORTS,False,0.93522227,8,6-10,0.9-1.0
Bal Gangadhar Tilak worked towards economic reform.,bal gangadhar tilak worked towards economic reform,NOT ENOUGH INFO,25342,2,0,SUPPORTS,False,0.990448,7,6-10,0.9-1.0
The Royal Tenenbaum stars Dolly Parton.,royal tenenbaum star dolly parton,NOT ENOUGH INFO,220819,2,0,SUPPORTS,False,0.6918993,6,6-10,0.6-0.7
Alessia Cara is a French singer.,alessia cara french singer,NOT ENOUGH INFO,201951,2,0,SUPPORTS,False,0.72685206,6,6-10,0.7-0.8
France controlled the colony of Mauritius.,france controlled colony mauritius,NOT ENOUGH INFO,78045,2,0,SUPPORTS,False,0.99593216,6,6-10,0.9-1.0
Mexico had a civil war called the War of the Reform.,mexico civil war called war reform,NOT ENOUGH INFO,9201,2,0,SUPPORTS,False,0.9720844,11,11-15,0.9-1.0
Leslie Groves oversaw the construction of the Pentagon in 1939.,leslie grove oversaw construction pentagon 1939,NOT ENOUGH INFO,227950,2,0,SUPPORTS,False,0.6620157,10,6-10,0.6-0.7
"Judith Quiney died in England on February 9, 1662.",judith quiney died england february 9 1662,NOT ENOUGH INFO,172577,2,0,SUPPORTS,False,0.9908716,9,6-10,0.9-1.0
Ethiopia was a democracy.,ethiopia democracy,NOT ENOUGH INFO,120582,2,0,SUPPORTS,False,0.7901214,4,0-5,0.7-0.8
Back to the Future Part II is a sequel and it is significant.,back future part ii sequel significant,NOT ENOUGH INFO,38171,2,0,SUPPORTS,False,0.94904697,13,11-15,0.9-1.0
Kurt Angle is an American professional fighter.,kurt angle american professional fighter,NOT ENOUGH INFO,104345,2,0,SUPPORTS,False,0.99537957,7,6-10,0.9-1.0
Trista Rehn is in The Bachelorette (season 13).,trista rehn bachelorette season 13,NOT ENOUGH INFO,11133,2,0,SUPPORTS,False,0.9851311,8,6-10,0.9-1.0
Diana Ross was honored for her contribution to energy independence in 2007.,diana ross honored contribution energy independence 2007,NOT ENOUGH INFO,127257,2,0,SUPPORTS,False,0.96447235,12,11-15,0.9-1.0
Inhumans is developed for a certain group or purpose.,inhumans developed certain group purpose,NOT ENOUGH INFO,67517,2,0,SUPPORTS,False,0.9861653,9,6-10,0.9-1.0
The Girl on the Train was produced by an actor.,girl train produced actor,NOT ENOUGH INFO,218061,2,0,SUPPORTS,False,0.9091144,10,6-10,0.9-1.0
PageRank was named after an American and it was successful.,pagerank named american successful,NOT ENOUGH INFO,164573,2,0,SUPPORTS,False,0.4205281,10,6-10,0.4-0.5
Muhammad Ali was a leader for African Americans.,muhammad ali leader african american,NOT ENOUGH INFO,29927,2,0,SUPPORTS,False,0.66719335,8,6-10,0.6-0.7
Arcade Fire's fifth studio album was commercially successful.,arcade fire fifth studio album commercially successful,NOT ENOUGH INFO,86974,2,0,SUPPORTS,False,0.9937477,8,6-10,0.9-1.0
Juliette Binoche married a French screenwriter and film director.,juliette binoche married french screenwriter film director,NOT ENOUGH INFO,134506,2,0,SUPPORTS,False,0.99439335,9,6-10,0.9-1.0
The Dayton Agreement was signed in ink.,dayton agreement signed ink,NOT ENOUGH INFO,217050,2,0,SUPPORTS,False,0.9265526,7,6-10,0.9-1.0
Kane is from Florida.,kane florida,NOT ENOUGH INFO,81026,2,0,SUPPORTS,False,0.5159592,4,0-5,0.5-0.6
Respiratory disease can be classified by air quality.,respiratory disease classified air quality,NOT ENOUGH INFO,59378,2,0,SUPPORTS,False,0.99310815,8,6-10,0.9-1.0
Nepal hosts the permanent secretariat of a trade bloc.,nepal host permanent secretariat trade bloc,NOT ENOUGH INFO,52867,2,0,SUPPORTS,False,0.4082396,9,6-10,0.4-0.5
Italy has the third largest population size in the Eurozone.,italy third largest population size eurozone,NOT ENOUGH INFO,178315,2,0,SUPPORTS,False,0.982781,10,6-10,0.9-1.0
Ben Stiller has children.,ben stiller child,NOT ENOUGH INFO,77269,2,0,SUPPORTS,False,0.99550086,4,0-5,0.9-1.0
Mike Love co-founded the Beach Boys in the 1970's.,mike love cofounded beach boy 1970s,NOT ENOUGH INFO,187989,2,0,SUPPORTS,False,0.99690175,9,6-10,0.9-1.0
"Jim Garrison used to be the poet laureate of Orleans Parish, Louisiana.",jim garrison used poet laureate orleans parish louisiana,NOT ENOUGH INFO,171177,2,0,SUPPORTS,False,0.99107224,12,11-15,0.9-1.0
Diana Ross recorded a duet with Stevie Wonder.,diana ross recorded duet stevie wonder,NOT ENOUGH INFO,65534,2,0,SUPPORTS,False,0.9972371,8,6-10,0.9-1.0
Gold has a standard.,gold standard,NOT ENOUGH INFO,141594,2,0,SUPPORTS,False,0.9885141,4,0-5,0.9-1.0
Anderson Silva was named in the year 1975.,anderson silva named year 1975,NOT ENOUGH INFO,229426,2,0,SUPPORTS,False,0.98609203,8,6-10,0.9-1.0
A Nightmare on Elm Street stars Hans Zimmer.,nightmare elm street star han zimmer,NOT ENOUGH INFO,195716,2,0,SUPPORTS,False,0.9880008,8,6-10,0.9-1.0
Marcus Rashford plays for Chelsea.,marcus rashford play chelsea,NOT ENOUGH INFO,149868,2,0,SUPPORTS,False,0.94665146,5,0-5,0.9-1.0
Good Will Hunting featured a song by Minnie Driver.,good hunting featured song minnie driver,NOT ENOUGH INFO,15447,2,0,SUPPORTS,False,0.9742323,9,6-10,0.9-1.0
On Stranger Tides is a science fiction novel.,stranger tide science fiction novel,NOT ENOUGH INFO,224343,2,0,SUPPORTS,False,0.9969934,8,6-10,0.9-1.0
Evonne Goolagong Cawley is from Perth.,evonne goolagong cawley perth,NOT ENOUGH INFO,170510,2,0,SUPPORTS,False,0.8000934,6,6-10,0.8-0.9
Geraldine Chaplin was adopted by Charlie Chaplin and Oona O'Neill after they had eight biologically related children.,geraldine chaplin adopted charlie chaplin oona oneill eight biologically related child,NOT ENOUGH INFO,167423,2,0,SUPPORTS,False,0.99366015,17,16-20,0.9-1.0
"The Economic Times is a serial publication containing news, articles, and comedy.",economic time serial publication containing news article comedy,NOT ENOUGH INFO,223252,2,0,SUPPORTS,False,0.96375066,12,11-15,0.9-1.0
Hannibal fought in the First Punic War.,hannibal fought first punic war,NOT ENOUGH INFO,29963,2,0,SUPPORTS,False,0.99364215,7,6-10,0.9-1.0
The Wachowskis are parents.,wachowskis parent,NOT ENOUGH INFO,64445,2,0,SUPPORTS,False,0.80273134,4,0-5,0.8-0.9
Diana Ross was declared the most successful female pirate in history.,diana ross declared successful female pirate history,NOT ENOUGH INFO,2957,2,0,SUPPORTS,False,0.9934923,11,11-15,0.9-1.0
Steffi Graf is a German citizen.,steffi graf german citizen,NOT ENOUGH INFO,62994,2,0,SUPPORTS,False,0.9899212,6,6-10,0.9-1.0
Guam is deemed to be subject to the decolonization process by the African Union.,guam deemed subject decolonization process african union,NOT ENOUGH INFO,67055,2,0,SUPPORTS,False,0.9387042,14,11-15,0.9-1.0
Pablo Picasso was considered a leader of postmodern art.,pablo picasso considered leader postmodern art,NOT ENOUGH INFO,94834,2,0,SUPPORTS,False,0.9957408,9,6-10,0.9-1.0
Imagine Dragons has a band called Radioactive.,imagine dragon band called radioactive,NOT ENOUGH INFO,95181,2,0,SUPPORTS,False,0.9960573,7,6-10,0.9-1.0
Michael Caine was in the Hunger Games trilogy.,michael caine hunger game trilogy,NOT ENOUGH INFO,147782,2,0,SUPPORTS,False,0.5970045,8,6-10,0.5-0.6
"Charles Marie de La Condamine was born in Paris on January 28, 1701.",charles marie de la condamine born paris january 28 1701,NOT ENOUGH INFO,62933,2,0,SUPPORTS,False,0.66413635,13,11-15,0.6-0.7
"FC Barcelona was formed by a group of  5 Swiss, 8 English, and 13 local players.",fc barcelona formed group 5 swiss 8 english 13 local player,NOT ENOUGH INFO,64006,2,0,SUPPORTS,False,0.86232406,16,16-20,0.8-0.9
John Adams was a diplomat in Australia.,john adam diplomat australia,NOT ENOUGH INFO,54793,2,0,SUPPORTS,False,0.7755695,7,6-10,0.7-0.8
The Los Angeles Lakers's current assistant of basketball operations is Magic Johnson.,los angeles lakerss current assistant basketball operation magic johnson,NOT ENOUGH INFO,14795,2,0,SUPPORTS,False,0.99648947,12,11-15,0.9-1.0
Sophie Turner had written a feature film.,sophie turner written feature film,NOT ENOUGH INFO,177885,2,0,SUPPORTS,False,0.9827346,7,6-10,0.9-1.0
Vladimir Putin was born in a city with five million inhabitants in 1916.,vladimir putin born city five million inhabitant 1916,NOT ENOUGH INFO,221972,2,0,SUPPORTS,False,0.9946253,13,11-15,0.9-1.0
A quarry is where mason jars have been excavated.,quarry mason jar excavated,NOT ENOUGH INFO,113741,2,0,SUPPORTS,False,0.9969379,9,6-10,0.9-1.0
Belgium is 41% German-speaking.,belgium 41 germanspeaking,NOT ENOUGH INFO,141334,2,0,SUPPORTS,False,0.67066145,4,0-5,0.6-0.7
Steven Gerrard votes for the English Members of Parliament.,steven gerrard vote english member parliament,NOT ENOUGH INFO,67655,2,0,SUPPORTS,False,0.66492885,9,6-10,0.6-0.7
Top Gun received mixed reviews from east coast reviewers.,top gun received mixed review east coast reviewer,NOT ENOUGH INFO,107226,2,0,SUPPORTS,False,0.98056257,9,6-10,0.9-1.0
Ben Whishaw was in The Matrix.,ben whishaw matrix,NOT ENOUGH INFO,185678,2,0,SUPPORTS,False,0.9715726,6,6-10,0.9-1.0
Snooki & Jwoww was renewed by Fox.,snooki jwoww renewed fox,NOT ENOUGH INFO,183075,2,0,SUPPORTS,False,0.9961266,7,6-10,0.9-1.0
Prussia became part of a unitary state.,prussia became part unitary state,NOT ENOUGH INFO,17872,2,0,SUPPORTS,False,0.9977574,7,6-10,0.9-1.0
The Bostonians (film) is a 1984 creative work.,bostonian film 1984 creative work,NOT ENOUGH INFO,188219,2,0,SUPPORTS,False,0.99628973,8,6-10,0.9-1.0
Abu Bakr al-Baghdadi was a victim of kidnapping.,abu bakr albaghdadi victim kidnapping,NOT ENOUGH INFO,219331,2,0,SUPPORTS,False,0.9960771,8,6-10,0.9-1.0
Desperate Housewives was written by Matthew Weiner.,desperate housewife written matthew weiner,NOT ENOUGH INFO,158458,2,0,SUPPORTS,False,0.8043839,7,6-10,0.8-0.9
Bernard Madoff got the maximum contract.,bernard madoff got maximum contract,NOT ENOUGH INFO,144945,2,0,SUPPORTS,False,0.9944517,6,6-10,0.9-1.0
The Resident Evil franchise has a movie series consisting of twelve G-rated films.,resident evil franchise movie series consisting twelve grated film,NOT ENOUGH INFO,76945,2,0,SUPPORTS,False,0.99186784,13,11-15,0.9-1.0
The Wolfman (2010 film) starred Emma Watson.,wolfman 2010 film starred emma watson,NOT ENOUGH INFO,47263,2,0,SUPPORTS,False,0.9912634,7,6-10,0.9-1.0
Audra McDonald appeared in the movie Ragtime.,audra mcdonald appeared movie ragtime,NOT ENOUGH INFO,179502,2,0,SUPPORTS,False,0.98411906,7,6-10,0.9-1.0
One World Trade Center is a skyscraper.,one world trade center skyscraper,NOT ENOUGH INFO,144382,2,0,SUPPORTS,False,0.99783295,7,6-10,0.9-1.0
"Wiz Khalifa wrote the song ""Rollin' In The Deep.""",wiz khalifa wrote song rollin deep,NOT ENOUGH INFO,18068,2,0,SUPPORTS,False,0.97929597,9,6-10,0.9-1.0
Halle Berry has a daughter named Haley.,halle berry daughter named haley,NOT ENOUGH INFO,211341,2,0,SUPPORTS,False,0.9966176,7,6-10,0.9-1.0
Billy Clanton had a brother.,billy clanton brother,NOT ENOUGH INFO,188666,2,0,SUPPORTS,False,0.3963931,5,0-5,0.3-0.4
